Date,Close_price
4/19/2018 ,85824.26
4/20/2018 ,85550.09
4/23/2018 ,85602.5
4/24/2018 ,85469.08
4/25/2018 ,85044.39
4/26/2018 ,86383.2
4/27/2018 ,86444.66
4/30/2018 ,86115.5
5/2/2018 ,84547.09
5/3/2018 ,83288.14
5/4/2018 ,83118.03
5/7/2018 ,82714.43
5/8/2018 ,82956.05
5/9/2018 ,84265.49
5/10/2018 ,85861.2
5/11/2018 ,85220.24
5/14/2018 ,85232.18
5/15/2018 ,85130.42
5/16/2018 ,86536.97
5/17/2018 ,83621.95
5/18/2018 ,83081.88
5/21/2018 ,81815.32
5/22/2018 ,82738.88
5/23/2018 ,80867.29
5/24/2018 ,80122.31
5/25/2018 ,78897.66
5/28/2018 ,75355.84
5/29/2018 ,76071.97
5/30/2018 ,76753.61
6/1/2018 ,77239.75
6/4/2018 ,78596.06
6/5/2018 ,76641.72
6/6/2018 ,76117.22
6/7/2018 ,73851.46
6/8/2018 ,72942.07
6/11/2018 ,72307.77
6/12/2018 ,72754.13
6/13/2018 ,72122.14
6/14/2018 ,71421.19
6/15/2018 ,70757.73
6/18/2018 ,69814.74
6/19/2018 ,71394.34
6/20/2018 ,72123.41
6/21/2018 ,70074.9
6/22/2018 ,70640.65
6/25/2018 ,70952.97
6/26/2018 ,71404.59
6/27/2018 ,70609
6/28/2018 ,71766.52
6/29/2018 ,72762.51
7/2/2018 ,72839.74
7/3/2018 ,73667.75
7/4/2018 ,74743.11
7/5/2018 ,74553.06
7/6/2018 ,75010.39
7/10/2018 ,74862.38
7/11/2018 ,74398.55
7/12/2018 ,75856.22
7/13/2018 ,76594.35
7/16/2018 ,76652.58
7/17/2018 ,78130.3
7/18/2018 ,77362.63
7/19/2018 ,77486.84
7/20/2018 ,78571.29
7/23/2018 ,77996.12
7/24/2018 ,79154.98
7/25/2018 ,80218.04
7/26/2018 ,79405.34
7/27/2018 ,79866.1
7/30/2018 ,80275.59
7/31/2018 ,79220.43
8/1/2018 ,79301.65
8/2/2018 ,79636.69
8/3/2018 ,81434.98
8/6/2018 ,81050.76
8/7/2018 ,80346.52
8/8/2018 ,79151.7
8/9/2018 ,78767.99
8/10/2018 ,76514.35
8/13/2018 ,77496.45
8/14/2018 ,78602.11
8/15/2018 ,77077.99
8/16/2018 ,76818.72
8/17/2018 ,76028.5
8/20/2018 ,76327.89
8/21/2018 ,75180.4
8/22/2018 ,76902.3
8/23/2018 ,75633.77
8/24/2018 ,76262.23
8/27/2018 ,77929.68
8/28/2018 ,77473.18
8/29/2018 ,78388.83
8/30/2018 ,76404.09
8/31/2018 ,76677.53
9/3/2018 ,76192.73
9/4/2018 ,74711.8
9/5/2018 ,75092.27
9/6/2018 ,76416.01
9/10/2018 ,76436.35
9/11/2018 ,74656.51
9/12/2018 ,75124.81
9/13/2018 ,74686.67
9/14/2018 ,75429.09
9/17/2018 ,76788.85
9/18/2018 ,78313.96
9/19/2018 ,78168.66
9/20/2018 ,78116.01
9/21/2018 ,79444.29
9/24/2018 ,77984.18
9/25/2018 ,78630.14
9/26/2018 ,78656.16
9/27/2018 ,80000.09
9/28/2018 ,79342.42
10/1/2018 ,78623.66
10/2/2018 ,81612.28
10/3/2018 ,83273.4
10/4/2018 ,82952.81
10/5/2018 ,82321.52
10/8/2018 ,86083.91
10/9/2018 ,86087.55
10/10/2018 ,83679.11
10/11/2018 ,82921.08
10/15/2018 ,83359.76
10/16/2018 ,85717.56
10/17/2018 ,85763.95
10/18/2018 ,83847.12
10/19/2018 ,84219.74
10/22/2018 ,85596.69
10/23/2018 ,85300.03
10/24/2018 ,83063.56
10/25/2018 ,84083.51
10/26/2018 ,85719.87
10/29/2018 ,83796.71
10/30/2018 ,86885.71
10/31/2018 ,87423.55
11/1/2018 ,88419.05
11/5/2018 ,89598.16
11/6/2018 ,88668.92
11/7/2018 ,87714.35
11/8/2018 ,85620.13
11/9/2018 ,85641.21
11/12/2018 ,85524.7
11/13/2018 ,84914.11
11/14/2018 ,85973.06
11/16/2018 ,88515.27
11/19/2018 ,87900.83
11/21/2018 ,87268.8
11/22/2018 ,87477.44
11/23/2018 ,86230.22
11/26/2018 ,85546.51
11/27/2018 ,87891.18
11/28/2018 ,89250.82
11/29/2018 ,89709.56
11/30/2018 ,89504.03
12/3/2018 ,89820.09
12/4/2018 ,88624.45
12/5/2018 ,89039.79
12/6/2018 ,88846.48
12/7/2018 ,88115.07
12/10/2018 ,85914.71
12/11/2018 ,86419.57
12/12/2018 ,86977.46
12/13/2018 ,87837.59
12/14/2018 ,87449.5
12/17/2018 ,86399.68
12/18/2018 ,86610.49
12/19/2018 ,85673.52
12/20/2018 ,85269.29
12/21/2018 ,85697.15
12/26/2018 ,85136.1
12/27/2018 ,85460.2
12/28/2018 ,87887.26
1/2/2019 ,91012.31
1/3/2019 ,91564.25
1/4/2019 ,91840.79
1/7/2019 ,91699.05
1/8/2019 ,92031.86
1/9/2019 ,93613.04
1/10/2019 ,93805.93
1/11/2019 ,93658.31
1/14/2019 ,94474.13
1/15/2019 ,94055.72
1/16/2019 ,94393.07
1/17/2019 ,95351.09
1/18/2019 ,96096.75
1/21/2019 ,96009.77
1/22/2019 ,95103.38
1/23/2019 ,96558.42
1/24/2019 ,97677.19
1/28/2019 ,95443.88
1/29/2019 ,95639.33
1/30/2019 ,96996.21
1/31/2019 ,97393.74
